adidas,converse,nike
E:\Python\shoes\train\adidas\100.jpg,E:\Python\shoes\train\converse\100.jpg,E:\Python\shoes\train\nike\100.jpg
E:\Python\shoes\train\adidas\101.jpg,E:\Python\shoes\train\converse\101.jpg,E:\Python\shoes\train\nike\101.jpg
E:\Python\shoes\train\adidas\102.jpg,E:\Python\shoes\train\converse\102.jpg,E:\Python\shoes\train\nike\102.jpg
E:\Python\shoes\train\adidas\103.jpg,E:\Python\shoes\train\converse\103.jpg,E:\Python\shoes\train\nike\103.jpg
E:\Python\shoes\train\adidas\104.jpg,E:\Python\shoes\train\converse\104.jpg,E:\Python\shoes\train\nike\104.jpg
E:\Python\shoes\train\adidas\105.jpg,E:\Python\shoes\train\converse\105.jpg,E:\Python\shoes\train\nike\105.jpg
E:\Python\shoes\train\adidas\106.jpg,E:\Python\shoes\train\converse\106.jpg,E:\Python\shoes\train\nike\106.jpg
E:\Python\shoes\train\adidas\107.jpg,E:\Python\shoes\train\converse\107.jpg,E:\Python\shoes\train\nike\107.jpg
E:\Python\shoes\train\adidas\108.jpg,E:\Python\shoes\train\converse\108.jpg,E:\Python\shoes\train\nike\108.jpg
E:\Python\shoes\train\adidas\109.jpg,E:\Python\shoes\train\converse\109.jpg,E:\Python\shoes\train\nike\109.jpg
E:\Python\shoes\train\adidas\110.jpg,E:\Python\shoes\train\converse\110.jpg,E:\Python\shoes\train\nike\110.jpg
E:\Python\shoes\train\adidas\111.jpg,E:\Python\shoes\train\converse\111.jpg,E:\Python\shoes\train\nike\111.jpg
E:\Python\shoes\train\adidas\112.jpg,E:\Python\shoes\train\converse\112.jpg,E:\Python\shoes\train\nike\112.jpg
E:\Python\shoes\train\adidas\113.jpg,E:\Python\shoes\train\converse\113.jpg,E:\Python\shoes\train\nike\113.jpg
E:\Python\shoes\train\adidas\114.jpg,E:\Python\shoes\train\converse\114.jpg,E:\Python\shoes\train\nike\114.jpg
E:\Python\shoes\train\adidas\115.jpg,E:\Python\shoes\train\converse\115.jpg,E:\Python\shoes\train\nike\115.jpg
E:\Python\shoes\train\adidas\116.jpg,E:\Python\shoes\train\converse\116.jpg,E:\Python\shoes\train\nike\116.jpg
E:\Python\shoes\train\adidas\117.jpg,E:\Python\shoes\train\converse\117.jpg,E:\Python\shoes\train\nike\117.jpg
E:\Python\shoes\train\adidas\118.jpg,E:\Python\shoes\train\converse\118.jpg,E:\Python\shoes\train\nike\118.jpg
